Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_1206_3216Metric,126.16,-45.08,0,top
C2,100nf,C_0402_1005Metric,113.7,-51.4,0,top
C3,10uF,C_1206_3216Metric,128.975,-57.47,0,top
C4,12pF,C_0402_1005Metric,112.405,-79.495,0,top
C5,12pF,C_0402_1005Metric,118.345,-78.215,180,top
C6,100nF,C_0402_1005Metric,120.095,-75.995,-90,top
C7,1uF,C_0402_1005Metric,122.075,-63.775,90,top
C8,100nF,C_0402_1005Metric,116.6,-61.5,90,top
C9,1uF,C_0402_1005Metric,123.305,-63.865,90,top
C10,100nF,C_0402_1005Metric,114.215,-65.725,180,top
C11,100nF,C_0402_1005Metric,118.3,-61.82,90,top
C12,100nF,C_0402_1005Metric,125.705,-63.865,90,top
C13,100nF,C_0402_1005Metric,124.475,-63.865,90,top
C14,100nF,C_0402_1005Metric,126.375,-70.255,0,top
C15,100nF,C_0402_1005Metric,111.395,-69.4,180,top
C16,100nF,C_0402_1005Metric,118.975,-75.995,-90,top
J1,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,109.5,-43.18,0,top
J2,USB_B_Micro,MICRO-USB-SMD_C393940,119.455,-43.425,180,top
R1,1k,R_0402_1005Metric,112.5,-47.49,-90,top
R2,27r,R_0402_1005Metric,119.3,-62.29,-90,top
R3,27r,R_0402_1005Metric,120.3,-62.29,90,top
U1,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,111.99,-55.2,0,top
U2,NCP1117ST33T3G1,SOT-223,126.3,-51.31,-90,top
U3,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,119.385,-69.4325,0,top
U4,~,Game_Conn_Button_C221902,95,-54.8,0,top
U5,~,Game_Conn_Button_C221902,103,-62.775,0,top
U6,~,Game_Conn_Button_C221902,87,-62.775,0,top
U7,~,Game_Conn_Button_C221902,94.9,-70.8,0,top
U8,~,Game_Conn_Button_C221902,141.615,-62.975,0,top
U9,~,Game_Conn_Button_C221902,151.5,-52.8,0,top
Y1,XYDBPCNANF-12MHZ,Xstal_2520_4P_XYDBPCNANF-12MHZ,115.295,-78.765,180,top
